Country,Year,GDP per capita_PPP
Nigeria,1976,2208
Nigeria,1977,2220
Nigeria,1978,2028
Nigeria,1979,2104
Nigeria,1980,2080
Nigeria,1981,1855
Nigeria,1982,1784
Nigeria,1983,1631
Nigeria,1984,1527
Nigeria,1985,1621
Nigeria,1986,1610
Nigeria,1987,1556
Nigeria,1988,1667
Nigeria,1989,1729
Nigeria,1990,1773
Nigeria,1991,1759.0035
Nigeria,1992,1793.9402
Nigeria,1993,1817.7495
Nigeria,1994,1820.3046
Nigeria,1995,1851.0375
Nigeria,1996,1924.0884
Nigeria,1997,1977.2856
Nigeria,1998,2025.8649
Nigeria,1999,2034.8275
Nigeria,2000,2144.8254
Nigeria,2001,2282.823
Nigeria,2002,2609.1294
Nigeria,2003,2848.2812
Nigeria,2004,3136.6274
Nigeria,2005,3347.8206
Nigeria,2006,3564.6323
Nigeria,2007,3817.4836
Nigeria,2008,4084.2002
Nigeria,2009,4416.347
Nigeria,2010,4904.8657
Nigeria,2011,5136
Nigeria,2012,5216.3154
Nigeria,2013,5356.3887
Nigeria,2014,5550.727
Nigeria,2015,5558.026
Nigeria,2016,5337.1294
Nigeria,2017,5248.6885
Nigeria,2018,5215.3755
Nigeria,2019,5197.0825
Nigeria,2020,4976.3223
Nigeria,2021,5029.0884
Nigeria,2022,5070.4927
